Dataset,Group,Augmentation_Method,Forecasting_Model,Training_Mode,MASE,Train_Size,Test_Size,Status
Gluonts,m1_monthly,Grasynda_Uniform,NHITS,Train+Real,0.93512285,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Uniform,NHITS,TSTR,0.9628343,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Uniform,MLP,Train+Real,0.96106714,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Uniform,MLP,TSTR,0.9537875,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Uniform,KAN,Train+Real,0.94407195,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Uniform,KAN,TSTR,0.9720975,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Horizontal,NHITS,Train+Real,0.95729333,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Horizontal,NHITS,TSTR,0.9703824,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Horizontal,MLP,Train+Real,0.9474521,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Horizontal,MLP,TSTR,0.963593,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Horizontal,KAN,Train+Real,0.9448687,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Horizontal,KAN,TSTR,0.9645406,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Natural,NHITS,Train+Real,0.9495999,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Natural,NHITS,TSTR,0.9843051,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Natural,MLP,Train+Real,0.9601615,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Natural,MLP,TSTR,0.9504443,35232,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Natural,KAN,Train+Real,0.94149065,70464,3744,Success
Gluonts,m1_monthly,Grasynda_Vis_Natural,KAN,TSTR,0.9806556,35232,3744,Success
Gluonts,m1_monthly,SeasonalMBB,NHITS,Train+Real,0.9655768,70464,3744,Success
Gluonts,m1_monthly,SeasonalMBB,NHITS,TSTR,0.9652551,35232,3744,Success
Gluonts,m1_monthly,SeasonalMBB,MLP,Train+Real,0.94280064,70464,3744,Success
Gluonts,m1_monthly,SeasonalMBB,MLP,TSTR,0.95980114,35232,3744,Success
Gluonts,m1_monthly,SeasonalMBB,KAN,Train+Real,0.9392968,70464,3744,Success
Gluonts,m1_monthly,SeasonalMBB,KAN,TSTR,0.9675272,35232,3744,Success
Gluonts,m1_monthly,Jittering,NHITS,Train+Real,0.948214,70464,3744,Success
Gluonts,m1_monthly,Jittering,NHITS,TSTR,0.9564085,35232,3744,Success
Gluonts,m1_monthly,Jittering,MLP,Train+Real,0.94113785,70464,3744,Success
Gluonts,m1_monthly,Jittering,MLP,TSTR,0.9211945,35232,3744,Success
Gluonts,m1_monthly,Jittering,KAN,Train+Real,0.95583206,70464,3744,Success
Gluonts,m1_monthly,Jittering,KAN,TSTR,0.94323415,35232,3744,Success
Gluonts,m1_monthly,Scaling,NHITS,Train+Real,0.9475516,70464,3744,Success
Gluonts,m1_monthly,Scaling,NHITS,TSTR,0.965554,35232,3744,Success
Gluonts,m1_monthly,Scaling,MLP,Train+Real,0.92519355,70464,3744,Success
Gluonts,m1_monthly,Scaling,MLP,TSTR,0.93331254,35232,3744,Success
Gluonts,m1_monthly,Scaling,KAN,Train+Real,0.93537164,70464,3744,Success
Gluonts,m1_monthly,Scaling,KAN,TSTR,0.9706191,35232,3744,Success
Gluonts,m1_monthly,TimeWarping,NHITS,Train+Real,0.97772986,70464,3744,Success
Gluonts,m1_monthly,TimeWarping,NHITS,TSTR,1.1277179,35232,3744,Success
Gluonts,m1_monthly,TimeWarping,MLP,Train+Real,0.9624689,70464,3744,Success
Gluonts,m1_monthly,TimeWarping,MLP,TSTR,1.1475217,35232,3744,Success
Gluonts,m1_monthly,TimeWarping,KAN,Train+Real,0.99896646,70464,3744,Success
Gluonts,m1_monthly,TimeWarping,KAN,TSTR,1.1419575,35232,3744,Success
Gluonts,m1_monthly,MagnitudeWarping,NHITS,Train+Real,0.98227,70464,3744,Success
Gluonts,m1_monthly,MagnitudeWarping,NHITS,TSTR,1.0935677,35232,3744,Success
Gluonts,m1_monthly,MagnitudeWarping,MLP,Train+Real,0.97212374,70464,3744,Success
Gluonts,m1_monthly,MagnitudeWarping,MLP,TSTR,1.0287623,35232,3744,Success
Gluonts,m1_monthly,MagnitudeWarping,KAN,Train+Real,0.97333574,70464,3744,Success
Gluonts,m1_monthly,MagnitudeWarping,KAN,TSTR,1.0645729,35232,3744,Success
Gluonts,m1_monthly,TSMixup,NHITS,Train+Real,0.948738,57343,3744,Success
Gluonts,m1_monthly,TSMixup,NHITS,TSTR,1.1137971,22111,3744,Success
Gluonts,m1_monthly,TSMixup,MLP,Train+Real,0.9554788,57343,3744,Success
Gluonts,m1_monthly,TSMixup,MLP,TSTR,1.009466,22111,3744,Success
Gluonts,m1_monthly,TSMixup,KAN,Train+Real,0.9503745,57343,3744,Success
Gluonts,m1_monthly,TSMixup,KAN,TSTR,1.0473188,22111,3744,Success
Gluonts,m1_monthly,DBA,NHITS,Train+Real,0.975286,80290,3744,Success
Gluonts,m1_monthly,DBA,NHITS,TSTR,1.0087404,45058,3744,Success
Gluonts,m1_monthly,DBA,MLP,Train+Real,0.9902328,80290,3744,Success
Gluonts,m1_monthly,DBA,MLP,TSTR,1.077893,45058,3744,Success
Gluonts,m1_monthly,DBA,KAN,Train+Real,0.9523464,80290,3744,Success
Gluonts,m1_monthly,DBA,KAN,TSTR,0.9798441,45058,3744,Success
Gluonts,m1_quarterly,Grasynda_Uniform,NHITS,Train+Real,1.0161638,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Uniform,NHITS,TSTR,1.057481,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Uniform,MLP,Train+Real,1.0655121,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Uniform,MLP,TSTR,1.0743918,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Uniform,KAN,Train+Real,1.0142393,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Uniform,KAN,TSTR,1.0319611,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Horizontal,NHITS,Train+Real,1.0704441,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Horizontal,NHITS,TSTR,1.1383306,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Horizontal,MLP,Train+Real,1.0748745,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Horizontal,MLP,TSTR,1.1410733,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Horizontal,KAN,Train+Real,1.047733,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Horizontal,KAN,TSTR,1.1157178,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Natural,NHITS,Train+Real,1.0409054,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Natural,NHITS,TSTR,1.097429,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Natural,MLP,Train+Real,1.0728551,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Natural,MLP,TSTR,1.1036359,7584,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Natural,KAN,Train+Real,1.030118,15168,346,Success
Gluonts,m1_quarterly,Grasynda_Vis_Natural,KAN,TSTR,1.0693473,7584,346,Success
Gluonts,m1_quarterly,SeasonalMBB,NHITS,Train+Real,1.03411,15168,346,Success
Gluonts,m1_quarterly,SeasonalMBB,NHITS,TSTR,1.0616949,7584,346,Success
Gluonts,m1_quarterly,SeasonalMBB,MLP,Train+Real,1.0490657,15168,346,Success
Gluonts,m1_quarterly,SeasonalMBB,MLP,TSTR,1.0794818,7584,346,Success
Gluonts,m1_quarterly,SeasonalMBB,KAN,Train+Real,1.0146505,15168,346,Success
Gluonts,m1_quarterly,SeasonalMBB,KAN,TSTR,1.0504069,7584,346,Success
Gluonts,m1_quarterly,Jittering,NHITS,Train+Real,1.0361072,15168,346,Success
Gluonts,m1_quarterly,Jittering,NHITS,TSTR,1.061519,7584,346,Success
Gluonts,m1_quarterly,Jittering,MLP,Train+Real,1.0461515,15168,346,Success
Gluonts,m1_quarterly,Jittering,MLP,TSTR,1.0863225,7584,346,Success
Gluonts,m1_quarterly,Jittering,KAN,Train+Real,1.0116816,15168,346,Success
Gluonts,m1_quarterly,Jittering,KAN,TSTR,1.0332711,7584,346,Success
Gluonts,m1_quarterly,Scaling,NHITS,Train+Real,1.0452073,15168,346,Success
Gluonts,m1_quarterly,Scaling,NHITS,TSTR,1.1820587,7584,346,Success
Gluonts,m1_quarterly,Scaling,MLP,Train+Real,1.0332778,15168,346,Success
Gluonts,m1_quarterly,Scaling,MLP,TSTR,1.175107,7584,346,Success
Gluonts,m1_quarterly,Scaling,KAN,Train+Real,1.0327065,15168,346,Success
Gluonts,m1_quarterly,Scaling,KAN,TSTR,1.1683975,7584,346,Success
Gluonts,m1_quarterly,TimeWarping,NHITS,Train+Real,1.0801452,15168,346,Success
Gluonts,m1_quarterly,TimeWarping,NHITS,TSTR,1.2661043,7584,346,Success
Gluonts,m1_quarterly,TimeWarping,MLP,Train+Real,1.0790749,15168,346,Success
Gluonts,m1_quarterly,TimeWarping,MLP,TSTR,1.2366372,7584,346,Success
Gluonts,m1_quarterly,TimeWarping,KAN,Train+Real,1.081182,15168,346,Success
Gluonts,m1_quarterly,TimeWarping,KAN,TSTR,1.2218243,7584,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,NHITS,Train+Real,0.99069834,15168,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,NHITS,TSTR,1.0059344,7584,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,MLP,Train+Real,1.0003177,15168,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,MLP,TSTR,0.9941369,7584,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,KAN,Train+Real,0.96651584,15168,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,KAN,TSTR,0.9774014,7584,346,Success
Gluonts,m1_quarterly,TSMixup,NHITS,Train+Real,1.0212977,12380,346,Success
Gluonts,m1_quarterly,TSMixup,NHITS,TSTR,1.110788,4796,346,Success
Gluonts,m1_quarterly,TSMixup,MLP,Train+Real,1.0917096,12380,346,Success
Gluonts,m1_quarterly,TSMixup,MLP,TSTR,1.1051159,4796,346,Success
Gluonts,m1_quarterly,TSMixup,KAN,Train+Real,1.0294402,12380,346,Success
Gluonts,m1_quarterly,TSMixup,KAN,TSTR,1.0635524,4796,346,Success
Gluonts,m1_quarterly,DBA,NHITS,Train+Real,1.0566719,16540,346,Success
Gluonts,m1_quarterly,DBA,NHITS,TSTR,1.050148,8956,346,Success
Gluonts,m1_quarterly,DBA,MLP,Train+Real,1.0577775,16540,346,Success
Gluonts,m1_quarterly,DBA,MLP,TSTR,1.0281986,8956,346,Success
Gluonts,m1_quarterly,DBA,KAN,Train+Real,1.0570148,16540,346,Success
